"","title","author","date","views","likes","link","sentiment","topics"
"35","Which animal has the best eyesight?","Thomas W. Cronin","January 2022",743000,22000,"https://ted.com/talks/thomas_w_cronin_which_animal_has_the_best_eyesight",0.0296096904441454,", education, animation, evolution, sight, animals, science, birds, biology"
"36","The new reality of fashion is digital","Gala Marija Vrbanic","December 2021",669000,20000,"https://ted.com/talks/gala_marija_vrbanic_the_new_reality_of_fashion_is_digital",0.0298953662182362,"technology, fashion, culture, design, social media, metaverse"
"37","Are brain waves the secret to treating Alzheimer's?","Li-Huei Tsai","August 2021",766000,23000,"https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s",0.0300261096605744,"brain, aging, alzheimer s, technology, science, music"
"38","What if women built the world they want to see?","Emily Pilloton-Lam","December 2021",789000,23000,"https://ted.com/talks/emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see",0.0291508238276299,"women in business, women, work, equality, gender"
"39","How to fix broken supply chains","Dustin Burke","September 2021",8e+05,24000,"https://ted.com/talks/dustin_burke_how_to_fix_broken_supply_chains",0.03,"business, technology, global issues, consumerism, pandemic, shopping"
"40","Can you solve the birthday cake riddle?","Marie Brodsky","January 2022",601000,18000,"https://ted.com/talks/marie_brodsky_can_you_solve_the_birthday_cake_riddle",0.0299500831946755,", math, education, animation"
"41","What you need to know about carbon removal","Gabrielle Walker","October 2021",732000,21000,"https://ted.com/talks/gabrielle_walker_what_you_need_to_know_about_carbon_removal",0.0286885245901639,"countdown, environment, pollution, climate change, agriculture, innovation, science, biosphere, sustainability, trees, engineering"
"42","How radical hospitality can change the lives of the formerly incarcerated","Reuben Jonathan Miller","November 2021",751000,22000,"https://ted.com/talks/reuben_jonathan_miller_how_radical_hospitality_can_change_the_lives_of_the_formerly_incarcerated",0.0292942743009321,"justice system, social change, prison, united states, law"
"43","The tragic myth of the Sun God's son","Iseult Gillespie","January 2022",998000,29000,"https://ted.com/talks/iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son",0.0290581162324649,"education, culture, , animation, storytelling"
"44","How to break down barriers and not accept limits","Candace Parker","December 2021",1e+06,32000,"https://ted.com/talks/candace_parker_how_to_break_down_barriers_and_not_accept_limits",0.032,"personal growth, equality, activism, motivation, social change, sports"
"45","""A Ride With Polly Jean"" / ""Ali Farka Touche""","Jenny Scheinman with Nels Cline and Todd Sickafoose","August 2021",20000,606,"https://ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche",0.0303,"performance, music"
"46","Why do cats have vertical pupils?","Emma Bryce","January 2022",2300000,70000,"https://ted.com/talks/emma_bryce_why_do_cats_have_vertical_pupils",0.0304347826086957,"science, education, , animals, evolution, biology, animation"
"47","Why great leaders take humor seriously","Jennifer Aaker and Naomi Bagdonas","August 2021",1e+06,32000,"https://ted.com/talks/jennifer_aaker_and_naomi_bagdonas_why_great_leaders_take_humor_seriously",0.032,"work, humor, leadership, creativity, business"
"48","One company at a time","American Family Insurance","January 2022",10000,312,"https://ted.com/talks/american_family_insurance_one_company_at_a_time",0.0312,"diversity, work"
"49","How comic strips create better health care","Sam Hester","June 2021",880000,26000,"https://ted.com/talks/sam_hester_how_comic_strips_create_better_health_care",0.0295454545454545,"creativity, health care, art, health, communication, medicine"
"50","Why is it so hard to escape poverty?","Ann-Helén Bay","January 2022",1500000,47000,"https://ted.com/talks/ann_helen_bay_why_is_it_so_hard_to_escape_poverty",0.0313333333333333,", money, education, animation, poverty, government, economics, finance"
"51","""You and I"" / ""Attention""","Charlie Puth","October 2021",19000,580,"https://ted.com/talks/charlie_puth_you_and_i_attention",0.0305263157894737,"performance, music, countdown"
"52","How to realistically decarbonize the oil and gas industry","Bjørn Otto Sverdrup","October 2021",825000,24000,"https://ted.com/talks/bjorn_otto_sverdrup_how_to_realistically_decarbonize_the_oil_and_gas_industry",0.0290909090909091,"countdown, climate change, environment, energy, sustainability, business, fossil fuels"
"53","I'm tired of people telling me to ""grind""","Pardis Parker","August 2021",90000,2700,"https://ted.com/talks/pardis_parker_i_m_tired_of_people_telling_me_to_grind",0.03,"comedy, culture, entertainment, performance, humor, storytelling"
"54","How biochar removes CO2 from the air — and helps farmers thrive","Axel Reinaud","September 2021",888000,26000,"https://ted.com/talks/axel_reinaud_how_biochar_removes_co2_from_the_air_and_helps_farmers_thrive",0.0292792792792793,"science, farming, climate change, future, food, technology"
